epoch,train_acc,train_loss,test_acc,test_loss
1,10.148333333333333,2.404327552541097,10.32,2.4004956047058106
2,10.606666666666667,4.08680233561198,11.55,3.9146614974975584
3,33.11,2.0806783864339193,62.36,1.4879908279418945
4,44.61666666666667,1.3035341888427734,68.67,0.9757533218383789
5,46.733333333333334,1.212268153254191,76.27,0.8793915224075317
6,46.735,1.2233126822153728,69.21,0.8084532224655151
7,49.29333333333334,1.203481447092692,87.55,0.7188805119514465
8,49.81,1.234033756128947,82.83,0.6033440913200379
9,50.265,1.2756226070404053,80.73,0.556725146484375
